"date","uri"
"20250202","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250201.png"
"20250203","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250202.png"
"20250204","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250203.png"
"20250205","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250204.png"
"20250206","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250205.png"
"20250207","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250206.png"
"20250208","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250207.png"
"20250209","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250208.png"
"20250210","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250209.png"
"20250211","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250210.png"
"20250212","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250211.png"
"20250214","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250213.png"
"20250215","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250214.png"
"20250216","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250215.png"
"20250217","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250216.png"
"20250218","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250217.png"
"20250219","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250218.png"
"20250226","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250225.png"
"20250227","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250226.png"
"20250228","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250227.png"
"20250301","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250228.png"
"20250302","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250301.png"
"20250303","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250302.png"
"20250304","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250303.png"
"20250305","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250304.png"
"20250306","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250305.png"
"20250308","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250307.png"
"20250309","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250308.png"
"20250310","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250309.png"
"20250311","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250310.png"
"20250312","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250311.png"
"20250313","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250312.png"
"20250314","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250313.png"
"20250315","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250314.png"
"20250316","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250315.png"
"20250317","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250316.png"
"20250318","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250317.png"
"20250319","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250318.png"
"20250320","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250319.png"
"20250321","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250320.png"
"20250322","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250321.png"
"20250323","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250322.png"
"20250324","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250323.png"
"20250326","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250325.png"
"20250327","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250326.png"
"20250328","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250327.png"
"20250329","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250328.png"
"20250330","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250329.png"
"20250331","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250330.png"
"20250401","https://khoa.go.kr/oceandata/openapi/odmi/odmiImage.do?fileKey=WA_Method_20250331.png"
